,categories,cuisine
27,"American (Traditional), Restaurants, Pizza, Italian",European Cuisine
28,"Middle Eastern, Food, Halal, Specialty Food, Meat Shops, Grocery, Restaurants",Middle Eastern / African Cuisine
29,"Restaurants, Chicken Wings, Pizza, Sandwiches",European Cuisine
30,"Fast Food, Sandwiches, Restaurants, Salad",American Cuisine
31,"Food, Sandwiches, American (New), Salad, Restaurants",American Cuisine
32,"Pakistani, Restaurants, Indian",Asian Cuisine
33,"Falafel, Middle Eastern, Mediterranean, Sandwiches, Vegan, Restaurants",Middle Eastern / African Cuisine
34,"Restaurants, Sandwiches, Breakfast & Brunch",American Cuisine
35,"Restaurants, Chicken Shop, Fast Food, Sandwiches",American Cuisine
36,"Restaurants, American (Traditional), Breakfast & Brunch, Tapas/Small Plates, American (New)",European Cuisine
37,"Chinese, Restaurants, Fast Food",Asian Cuisine
38,"Sandwiches, Pizza, Restaurants, Wraps",European Cuisine
39,"Food, Seafood, Restaurants",Unknown
40,"Hawaiian, Poke, Food, Restaurants",Asian Cuisine
41,"Restaurants, Italian, Seafood",European Cuisine
42,"Salad, Restaurants, Mediterranean",Unknown
43,"Food, Restaurants, Street Vendors, Food Stands, Italian",European Cuisine
44,"American (New), Restaurants, Delis, Sandwiches, Bakeries, Food, Cafes",American Cuisine
45,"Restaurants, Food, Empanadas, Latin American, Venezuelan",South American Cuisine
46,"Food, Coffee & Tea, Restaurants, Fast Food, Burgers",American Cuisine
47,"New Mexican Cuisine, Mexican, Restaurants, Tacos",South American Cuisine
48,"Cuban, Restaurants",South American Cuisine
49,"Hot Dogs, Ice Cream & Frozen Yogurt, Burgers, Restaurants, Food",American Cuisine
50,"Cafes, Food, Coffee & Tea, Coffee Roasteries, Restaurants",Unknown
51,"Restaurants, Tacos, Mexican, Fast Food, Food, Food Trucks",South American Cuisine
52,"Sandwiches, Chicken Shop, Restaurants, Southern",American Cuisine
53,"Middle Eastern, Restaurants, Lebanese, Pizza, Sandwiches, Halal",Middle Eastern / African Cuisine
54,"Ethnic Food, Grocery, Restaurants, Imported Food, Food, Specialty Food, Vegan",Unknown
55,"Restaurants, Fish & Chips, Food, Specialty Food, Seafood Markets, American (Traditional), Seafood",American Cuisine
56,"Restaurants, Food, Sandwiches, Delis",Unknown
57,"Food, Vegetarian, Tea Rooms, Restaurants",Unknown
58,"Restaurants, Italian, Food, Desserts, Pizza",European Cuisine
59,"Food, Bakeries, Pizza, Restaurants",European Cuisine
60,"Specialty Food, Fruits & Veggies, Food, Sandwiches, Restaurants, Fast Food",American Cuisine
61,"Food, Restaurants, Bakeries, Delis, Grocery",Unknown
62,"Waffles, American (Traditional), Breakfast & Brunch, Restaurants",American Cuisine
63,"Donuts, Restaurants, Vegan, Food, Pizza",European Cuisine
64,"Restaurants, Fast Food, Breakfast & Brunch, American (Traditional), Diners, American (New), Burgers",American Cuisine
65,"Thai, Salad, Restaurants, Noodles",Asian Cuisine
66,"Pizza, Delis, Sandwiches, Restaurants",European Cuisine
67,"Restaurants, American (New), Gastropubs",American Cuisine
68,"Comfort Food, Mediterranean, Food, Noodles, Specialty Food, Asian Fusion, American (Traditional), Italian, Restaurants, Fast Food, Soup, American (New), Pasta Shops, Salad",Asian Cuisine
69,"Restaurants, Breakfast & Brunch, Bagels, Food",American Cuisine
70,"Restaurants, Food, Pizza, Delis, Beer, Wine & Spirits, Grocery",European Cuisine
71,"Food, Breakfast & Brunch, Bakeries, Restaurants, Coffee & Tea",American Cuisine
72,"Restaurants, Peruvian, Latin American",South American Cuisine
73,"Colombian, Restaurants, Latin American, Venezuelan",South American Cuisine
74,"Restaurants, Sandwiches, Burgers, American (New), American (Traditional), French",European Cuisine
75,"Restaurants, Pizza, Sandwiches",European Cuisine
76,"Restaurants, Breakfast & Brunch, Burgers, Chicken Wings",American Cuisine
77,"Pizza, Restaurants, Fast Food, Salad",European Cuisine
78,"Mexican, Desserts, Restaurants, Food",South American Cuisine
79,"Food, Soup, Restaurants",Unknown
80,"Food, Breakfast & Brunch, Restaurants, Burgers, Coffee & Tea",American Cuisine
81,"Seafood, Restaurants, Southern, Steakhouses, American (Traditional)",American Cuisine
82,"Food Trucks, Food, Restaurants, Southern, Cajun/Creole",American Cuisine
83,"Gluten-Free, Restaurants, Ethnic Food, Food, Bakeries, Greek, Specialty Food, Do-It-Yourself Food",European Cuisine
84,"Restaurants, Seafood, Chicken Wings",Unknown
85,"Fast Food, Restaurants, Mexican, Burgers, Tacos, Breakfast & Brunch",South American Cuisine
86,"Food, Grocery, Restaurants, Delis, Bakeries",Unknown
87,"Restaurants, Food, Fast Food, Chicken Wings",American Cuisine
88,"Burgers, Restaurants, Diners, American (Traditional)",American Cuisine
89,"Mexican, Tex-Mex, Restaurants, Fast Food, Breakfast & Brunch, Tacos",South American Cuisine
90,"Restaurants, Food, Sandwiches, Fast Food",American Cuisine
91,"Food, Coffee & Tea, Breakfast & Brunch, Restaurants, Beer, Wine & Spirits",American Cuisine
92,"Restaurants, Sandwiches, Cafes, Food, Salad",Unknown
93,"Chinese, Japanese, Gluten-Free, Asian Fusion, Restaurants",Asian Cuisine
94,"Chicken Wings, Salad, Burgers, Restaurants",American Cuisine
95,"Restaurants, Sandwiches, Bagels, Breakfast & Brunch, Salad, Cafes, Food, Soup",American Cuisine
96,"Sandwiches, Street Vendors, Burgers, Food, Fast Food, Food Trucks, Restaurants",American Cuisine
97,"Restaurants, Fast Food, Tex-Mex, Tacos, Mexican, Breakfast & Brunch",South American Cuisine
98,"Food, Burgers, American (New), Restaurants",American Cuisine
99,"Restaurants, Thai",Asian Cuisine
100,"Cafes, American (New), Sandwiches, Restaurants, Comfort Food, Breakfast & Brunch",American Cuisine
101,"Cafes, American (Traditional), Restaurants, Breakfast & Brunch",American Cuisine
102,"Restaurants, Pakistani, Halal, Indian",Asian Cuisine
103,"Restaurants, Asian Fusion, Chinese, Fast Food, Gluten-Free",Asian Cuisine
104,"Cafes, Breakfast & Brunch, Restaurants",American Cuisine
105,"Restaurants, Fast Food, Chicken Shop, Sandwiches",American Cuisine
106,"Restaurants, Delis, American (Traditional), Food, Ice Cream & Frozen Yogurt, Sandwiches",American Cuisine
107,"Latin American, Burgers, Venezuelan, Food, Hot Dogs, Empanadas, Restaurants, Breakfast & Brunch",South American Cuisine
108,"Mexican, Restaurants, American (Traditional), Seafood, Tacos",South American Cuisine
109,"Coffee Roasteries, Food, Sandwiches, Coffee & Tea, Restaurants",Unknown
110,"Restaurants, Ramen, Japanese",Asian Cuisine
111,"Salad, Italian, Restaurants, Wraps",European Cuisine
112,"French, Restaurants",European Cuisine
113,"Restaurants, Pizza, American (Traditional)",European Cuisine
114,"Mexican, Japanese, Chinese, Asian Fusion, Restaurants, Tacos",Asian Cuisine
115,"Middle Eastern, Mexican, Restaurants",South American Cuisine
116,"Pizza, Chicken Wings, Restaurants",European Cuisine
117,"Breakfast & Brunch, Sandwiches, American (Traditional), Restaurants",American Cuisine
118,"Restaurants, Sandwiches, Fast Food, American (Traditional), Salad",American Cuisine
119,"Restaurants, Sandwiches, Soup, Salad",Unknown
120,"Restaurants, American (Traditional), Cajun/Creole",American Cuisine
121,"Fast Food, Sandwiches, Hot Dogs, Restaurants",American Cuisine
122,"Restaurants, Southern, American (Traditional), Steakhouses, American (New)",American Cuisine
123,"Chinese, Soup, Restaurants, Chicken Shop, Food",Asian Cuisine
124,"Restaurants, Mexican, Tacos",South American Cuisine
125,"Pizza, Restaurants, Salad, Fast Food",European Cuisine
126,"Restaurants, Fast Food, Delis, Sandwiches, Internet Cafes, Food",American Cuisine
127,"Restaurants, Food, Hot Dogs, Shaved Ice, Desserts",American Cuisine
128,"Fast Food, Chicken Wings, Chicken Shop, Food, Restaurants",American Cuisine
129,"Restaurants, Sandwiches, Fast Food, Burgers",American Cuisine
130,"Breakfast & Brunch, Diners, Restaurants, Food, American (Traditional), Burgers, American (New)",American Cuisine
131,"Restaurants, Soup, Thai, Vietnamese",Asian Cuisine
132,"Restaurants, Bagels, Coffee & Tea, Sandwiches, Food, Soup, Salad",Unknown
133,"Cupcakes, Delis, Desserts, Restaurants, Food",American Cuisine
134,"Soul Food, Restaurants, Ethiopian",Unknown
135,"Coffee & Tea, Restaurants, Food, Chinese, Bubble Tea",Asian Cuisine
136,"Cuban, Italian, Greek, Pizza, Restaurants",South American Cuisine
137,"Restaurants, Mexican",South American Cuisine
138,"American (Traditional), Restaurants, Coffee Roasteries, Food, Sandwiches, Coffee & Tea",American Cuisine
139,"Restaurants, Tex-Mex, Tacos, Breakfast & Brunch, Fast Food, Mexican",South American Cuisine
140,"Restaurants, Mexican, Breakfast & Brunch",South American Cuisine
141,"Breakfast & Brunch, American (Traditional), Food, American (New), Sandwiches, Restaurants, Beer, Wine & Spirits",American Cuisine
142,"Restaurants, Chinese, Comfort Food",Asian Cuisine
143,"Restaurants, Noodles",Unknown
144,"Chicken Wings, Ramen, Restaurants, Japanese",Asian Cuisine
145,"Food, Restaurants, Coffee & Tea, Sandwiches, Bagels",Unknown
146,"Restaurants, Breakfast & Brunch, Sandwiches, Waffles",American Cuisine
147,"Restaurants, Breakfast & Brunch, Fast Food, Tacos, Mexican, Tex-Mex",South American Cuisine
148,"Specialty Food, Restaurants, Seafood, Food",Unknown
149,"Fast Food, Restaurants, Mexican, Burgers",South American Cuisine
150,"Chinese, Restaurants, Chicken Shop, Soup",Asian Cuisine
151,"Chicken Wings, Pizza, Sandwiches, Italian, Restaurants",European Cuisine
152,"Food, Bakeries, Restaurants, Coffee & Tea, Patisserie/Cake Shop, Cafes, Desserts",Unknown
153,"Sandwiches, Food, Restaurants, Fast Food",American Cuisine
154,"Mediterranean, Italian, Restaurants",European Cuisine
155,"Salad, Bakeries, Food, Restaurants, Cafes, Sandwiches, Soup",Unknown
156,"American (Traditional), Restaurants, Pizza, Gluten-Free",European Cuisine
157,"Salad, American (Traditional), Restaurants, American (New), Pizza",European Cuisine
158,"Restaurants, Soul Food, Seafood",Unknown
159,"Food, Donairs, Portuguese, Restaurants",Unknown
160,"Food, Restaurants, Cafes, Donuts, Coffee & Tea",American Cuisine
161,"Restaurants, Tex-Mex, Italian, Food Stands, Latin American, Mexican",South American Cuisine
162,"Restaurants, Fast Food, Sandwiches",American Cuisine
163,"Indian, Restaurants, Halal, Vegetarian",Asian Cuisine
164,"American (Traditional), Comfort Food, Restaurants",American Cuisine
165,"Restaurants, Food, Coffee & Tea, Fast Food, Burgers",American Cuisine
166,"Pizza, Restaurants, Chicken Wings, Italian, Fast Food",European Cuisine
167,"Mexican, Spanish, Basque, Restaurants, Seafood",South American Cuisine
168,"Restaurants, Mexican, Food, Hot Dogs, Tacos, Food Trucks",South American Cuisine
169,"Meat Shops, Specialty Food, Food, Restaurants, Delis",Unknown
170,"Delis, Spanish, Restaurants, Food",European Cuisine
171,"Puerto Rican, Caribbean, Greek, Restaurants, American (Traditional)",South American Cuisine
172,"Food Trucks, Restaurants, Food, Mexican",South American Cuisine
173,"American (Traditional), Southern, Comfort Food, Chicken Wings, Restaurants, Seafood",American Cuisine
174,"Cafes, Restaurants, American (Traditional), Breakfast & Brunch",American Cuisine
175,"Bistros, Cafes, Breakfast & Brunch, Food, Desserts, Restaurants",American Cuisine
176,"Imported Food, Sandwiches, Restaurants, Ethnic Food, Cuban, Specialty Food, Food",South American Cuisine
177,"Restaurants, Soup, Diners, Breakfast & Brunch",American Cuisine
178,"Sandwiches, Delis, Food, Food Trucks, Restaurants",Unknown
179,"Restaurants, Mexican, Tex-Mex, Latin American",South American Cuisine
180,"Sandwiches, Restaurants, Food, Bakeries",Unknown
181,"Fast Food, Burgers, Food, Restaurants",American Cuisine
182,"Sandwiches, Fast Food, Cuban, Restaurants",South American Cuisine
183,"Falafel, Halal, Specialty Food, Ethnic Food, Grocery, Restaurants, Mediterranean, Middle Eastern, Arabic, Food",Middle Eastern / African Cuisine
184,"Pizza, Diners, Restaurants, Breakfast & Brunch",European Cuisine
185,"Restaurants, Fast Food, Mexican, Burgers, Tacos, Breakfast & Brunch",South American Cuisine
186,"Cajun/Creole, Italian, Restaurants",European Cuisine
187,"Burgers, Restaurants, Fast Food, American (Traditional)",American Cuisine
188,"Pizza, Fast Food, Restaurants",European Cuisine
189,"Chicken Wings, Restaurants, Pizza, Fast Food, Italian",European Cuisine
190,"Breakfast & Brunch, Southern, Restaurants",American Cuisine
191,"American (New), Restaurants, Food, Ice Cream & Frozen Yogurt, Burgers, Sandwiches",American Cuisine
192,"Food, Restaurants, Bakeries, Cupcakes, Gluten-Free",American Cuisine
193,"Sandwiches, Fast Food, Delis, Restaurants",American Cuisine
194,"Italian, Restaurants, Cafes, Coffee & Tea, Food",European Cuisine
195,"Food, Sandwiches, American (New), Cafes, Soup, Restaurants",American Cuisine
196,"Specialty Food, Sandwiches, Food, Restaurants, Breakfast & Brunch, American (Traditional), Fast Food, Salad",American Cuisine
197,"Specialty Food, Seafood Markets, Restaurants, Food, Seafood",Unknown
198,"Restaurants, Breakfast & Brunch, Sandwiches, Southern, Cafes",American Cuisine
199,"Restaurants, Chicken Wings, Italian, Fast Food, Pizza",European Cuisine
200,"Salad, Comfort Food, Sandwiches, Restaurants",Unknown
201,"Burgers, Food, Restaurants, Fast Food, Coffee & Tea",American Cuisine
202,"Restaurants, Brewpubs, Food, Breweries, Gastropubs, American (New), Nightlife, Beer Gardens",American Cuisine
203,"Vegetarian, Food, Venezuelan, Cafes, Latin American, Desserts, Restaurants",South American Cuisine
204,"Restaurants, Chinese, Buffets",Asian Cuisine
205,"Restaurants, Mediterranean, Persian/Iranian, Middle Eastern",Middle Eastern / African Cuisine
206,"Thai, Chinese, Japanese, Asian Fusion, Restaurants",Asian Cuisine
207,"Donuts, Food, Restaurants, Coffee & Tea, Breakfast & Brunch",American Cuisine
208,"Restaurants, Food, Mexican, Food Trucks",South American Cuisine
209,"Sandwiches, Restaurants, Wraps, Delis",Unknown
210,"Halal, Middle Eastern, Greek, Restaurants, Pakistani",Middle Eastern / African Cuisine
211,"Restaurants, Mexican, Fast Food, Burgers, Breakfast & Brunch, Tacos",South American Cuisine
212,"Bagels, Soup, Breakfast & Brunch, Coffee & Tea, Food, Salad, Bakeries, Sandwiches, Restaurants",American Cuisine
213,"Italian, Chicken Wings, Pizza, Restaurants",European Cuisine
214,"Seafood, Food, Restaurants, American (Traditional), Nightlife",American Cuisine
215,"American (Traditional), Gastropubs, Restaurants, Burgers",American Cuisine
216,"Pakistani, Restaurants, Afghan, Indian",Asian Cuisine
217,"Delis, Salad, Restaurants, Sandwiches",Unknown
218,"Pizza, Thai, Restaurants",Asian Cuisine
219,"Food Court, Food, Fast Food, Restaurants",American Cuisine
220,"Burgers, Food, Coffee & Tea, Fast Food, Restaurants",American Cuisine
221,"Delis, Seafood, Breakfast & Brunch, Fast Food, Restaurants, American (Traditional), Sandwiches",American Cuisine
222,"American (Traditional), Steakhouses, Restaurants",American Cuisine
223,"Salad, Soup, Wraps, Vegetarian, Restaurants",Unknown
224,"Restaurants, American (New), Vietnamese",Asian Cuisine
225,"Restaurants, Mediterranean, Greek",European Cuisine
226,"Restaurants, Food, Vegan, Bakeries, Desserts",Unknown
227,"Fast Food, Tacos, Breakfast & Brunch, Mexican, Restaurants, Tex-Mex",South American Cuisine
228,"Coffee & Tea, Restaurants, Burgers, Fast Food, Food",American Cuisine
229,"Pizza, Chicken Wings, Restaurants, Sandwiches",European Cuisine
230,"Restaurants, American (New), American (Traditional), Breakfast & Brunch, Burgers",American Cuisine
231,"Specialty Food, Food, Breakfast & Brunch, Restaurants, Salad, Sandwiches, Grocery, American (New)",American Cuisine
232,"Bakeries, Sandwiches, Salad, Food, Breakfast & Brunch, Soup, Bagels, Restaurants",American Cuisine
233,"American (Traditional), Fast Food, Restaurants, Food, Sandwiches",American Cuisine
234,"Food, Burgers, Sandwiches, Bakeries, Salad, Restaurants, Breakfast & Brunch",American Cuisine
235,"Food Court, Asian Fusion, Restaurants, Chinese",Asian Cuisine
236,"Italian, Delis, Restaurants, Coffee & Tea, Food, Delicatessen, Specialty Food",European Cuisine
237,"Bakeries, Food, Restaurants, American (New)",American Cuisine
238,"Mediterranean, Turkish, Restaurants",Middle Eastern / African Cuisine
239,"Restaurants, Chinese, Noodles, Soup, Dim Sum, Szechuan, Asian Fusion",Asian Cuisine
240,"Seafood, Specialty Food, Seafood Markets, Food, Restaurants, Delis",Unknown
241,"Fast Food, Delis, Restaurants, Sandwiches",American Cuisine
242,"Mexican, Restaurants",South American Cuisine
243,"Fast Food, Burgers, Restaurants, American (New)",American Cuisine
244,"Specialty Food, Restaurants, Butcher, Delis, Seafood Markets, Food, Meat Shops",Unknown
245,"Sandwiches, Breakfast & Brunch, Restaurants, Cafes",American Cuisine
246,"Restaurants, Cafes, American (New)",American Cuisine
247,"Restaurants, Ice Cream & Frozen Yogurt, Food, Desserts, Vegan, Gelato",European Cuisine
248,"Southern, Restaurants, Soul Food",American Cuisine
249,"Asian Fusion, Seafood, Chinese, Restaurants",Asian Cuisine
250,"Italian, Restaurants, Steakhouses",European Cuisine
251,"Automotive, Parking, Beauty & Spas, Nail Salons, Breakfast & Brunch, Restaurants",American Cuisine
252,"Fast Food, Tex-Mex, Mexican, Restaurants",South American Cuisine
253,"Restaurants, Pizza, Chicken Wings, Italian, Sandwiches",European Cuisine
254,"Hot Dogs, Breakfast & Brunch, Restaurants, Chicken Shop, Fast Food, Chicken Wings",American Cuisine
255,"Restaurants, Pizza, Salad, Food, Desserts",European Cuisine
256,"Japanese, Malaysian, Chinese, Restaurants, Asian Fusion",Asian Cuisine
257,"Italian, Restaurants, American (New), Vegetarian, Mediterranean",European Cuisine
258,"Gluten-Free, Sandwiches, Canadian (New), Breakfast & Brunch, Restaurants",American Cuisine
259,"Sandwiches, Italian, Salad, Restaurants, Delis, Specialty Food, Food",European Cuisine
260,"Grocery, Food, Asian Fusion, Restaurants, Mexican",Asian Cuisine
261,"Nightlife, Italian, Restaurants, American (Traditional), Seafood, Breakfast & Brunch",European Cuisine
262,"American (New), Restaurants, American (Traditional), Soup, Vegetarian, Salad, Sandwiches",American Cuisine
263,"Restaurants, Fast Food, Tacos, Breakfast & Brunch, Burgers, Mexican",South American Cuisine
264,"Food, Restaurants, Gelato, Sandwiches, Ice Cream & Frozen Yogurt",European Cuisine
265,"American (New), Restaurants, Seafood, Sandwiches, Chicken Wings, Salad",American Cuisine
266,"Restaurants, Pizza, Chicken Wings, Sandwiches",European Cuisine
267,"Fish & Chips, Pizza, Burgers, Restaurants",European Cuisine
268,"Mexican, Restaurants, Sandwiches, American (Traditional)",South American Cuisine
269,"Sandwiches, Restaurants, American (Traditional), Pizza, Delis, Salad, Fast Food, Burgers",European Cuisine
270,"Restaurants, Tex-Mex, Fast Food, Mexican, Tacos",South American Cuisine
271,"Breakfast & Brunch, Restaurants, American (New), Canadian (New)",American Cuisine
272,"Seafood, Restaurants, Italian",European Cuisine
273,"Buffets, Grocery, Food, Restaurants, Filipino",Asian Cuisine
274,"Food, Beer, Wine & Spirits, Restaurants, Seafood, Cafes, American (Traditional)",American Cuisine
275,"Restaurants, Burgers, Fast Food, Mexican, Breakfast & Brunch, Tacos",South American Cuisine
276,"American (New), Restaurants, French",European Cuisine
277,"Specialty Food, Delis, Restaurants, Food, Meat Shops",Unknown
278,"Sandwiches, Steakhouses, Restaurants",American Cuisine
279,"Cafes, Breakfast & Brunch, American (Traditional), American (New), Restaurants",American Cuisine
280,"Food, Restaurants, Food Trucks, Seafood",Unknown
281,"American (New), Restaurants, American (Traditional), French",European Cuisine
282,"Restaurants, Cheesesteaks, Sandwiches, Breakfast & Brunch, American (Traditional), Delis, Seafood",American Cuisine
283,"Szechuan, Chinese, Restaurants",Asian Cuisine
284,"Mexican, Food, Restaurants",South American Cuisine
285,"Salad, Restaurants, Sandwiches, Breakfast & Brunch, Burgers",American Cuisine
286,"Donuts, Restaurants, Delis, Food, Breakfast & Brunch, Bagels, Bakeries",American Cuisine
287,"Sandwiches, Restaurants, Fast Food, Burgers",American Cuisine
288,"Food, Desserts, Food Stands, Restaurants",Unknown
289,"Chinese, Asian Fusion, Japanese, Restaurants",Asian Cuisine
290,"Restaurants, Coffee & Tea, Food, Chicken Wings, Gas Stations, Automotive",Unknown
291,"Comfort Food, Buffets, Restaurants, American (Traditional)",American Cuisine
292,"Soup, American (New), Salad, American (Traditional), Sandwiches, Restaurants, Vegetarian",American Cuisine
293,"Coffee & Tea, Gas Stations, Food, Sandwiches, Automotive, Restaurants, Fast Food",American Cuisine
294,"Chinese, Restaurants, Asian Fusion, Thai",Asian Cuisine
295,"Restaurants, Salad, Sandwiches, Food, Coffee & Tea",Unknown
296,"Restaurants, Caribbean, Dominican",South American Cuisine
297,"Restaurants, Seafood Markets, Specialty Food, Seafood, Food",Unknown
298,"Italian, Restaurants, Chicken Wings, Pizza",European Cuisine
299,"Chinese, Chicken Wings, Restaurants",Asian Cuisine
300,"Ice Cream & Frozen Yogurt, Sandwiches, Restaurants, Desserts, Food",American Cuisine
301,"Restaurants, Italian, Sandwiches, Pizza",European Cuisine
302,"Pizza, Italian, Sandwiches, Restaurants",European Cuisine
303,"Cafes, French, Breakfast & Brunch, Sandwiches, American (New), Modern European, Restaurants",European Cuisine
304,"Food, Sandwiches, Bagels, Restaurants, Breakfast & Brunch, Fast Food",American Cuisine
305,"Vietnamese, Cafes, Restaurants",Asian Cuisine
306,"Burgers, Restaurants, Food Trucks, Food, Street Vendors",American Cuisine
307,"Ethnic Food, Food, Imported Food, Restaurants, Specialty Food, Mexican",South American Cuisine
308,"Delis, Restaurants, Sandwiches",Unknown
309,"Food Trucks, Food, Restaurants, Food Stands",Unknown
310,"Restaurants, Chinese, Food, Noodles",Asian Cuisine
311,"Restaurants, Buffets, American (Traditional)",American Cuisine
312,"Food Stands, Comfort Food, Southern, Food Trucks, Restaurants, Food",American Cuisine
313,"Fish & Chips, Restaurants, Seafood",Unknown
314,"Food, Italian, Soup, Restaurants",European Cuisine
315,"Restaurants, Peruvian, Pop-Up Restaurants",Unknown
316,"Hot Dogs, Burgers, Food, Coffee & Tea, Fast Food, Restaurants",American Cuisine
317,"Pizza, Sandwiches, Restaurants",European Cuisine
318,"Wraps, Restaurants, Salad, Fast Food",American Cuisine
319,"American (Traditional), Restaurants, American (New)",American Cuisine
320,"Food, Specialty Food, Vietnamese, Ethnic Food, Restaurants",Asian Cuisine
321,"Restaurants, Cafes, Cajun/Creole",American Cuisine
322,"Burgers, Hot Dogs, Restaurants, Desserts, Chicken Wings, Food",American Cuisine
323,"Chinese, Restaurants, Sandwiches",Asian Cuisine
324,"Food, Breakfast & Brunch, Modern European, Restaurants, Beer, Wine & Spirits, American (New)",European Cuisine
325,"Vegetarian, Restaurants, Latin American, New Mexican Cuisine, Tacos, Mexican",South American Cuisine
326,"Food, Fast Food, Restaurants, Pizza",European Cuisine
327,"American (Traditional), Restaurants, Breakfast & Brunch, Sandwiches",American Cuisine
328,"Restaurants, American (Traditional), Burgers",American Cuisine
329,"Coffee & Tea, Restaurants, Soup, Salad, Delis, Sandwiches, Food, Breakfast & Brunch",American Cuisine
330,"Sandwiches, Breakfast & Brunch, Coffee & Tea, American (New), Food, Restaurants, Mexican",South American Cuisine
331,"Coffee & Tea, Food, Fast Food, Restaurants, Burgers",American Cuisine
332,"Seafood Markets, Restaurants, Food, Specialty Food, Seafood",Unknown
333,"Korean, Gluten-Free, Vegan, Vegetarian, Restaurants",Asian Cuisine
334,"Restaurants, Fast Food, Delis, Sandwiches",American Cuisine
335,"Vegetarian, Greek, Restaurants, Gluten-Free",European Cuisine
336,"Meat Shops, Delis, Food, Butcher, Ice Cream & Frozen Yogurt, Restaurants, Specialty Food, Grocery",American Cuisine
337,"Cafes, American (Traditional), Restaurants, Burgers",American Cuisine
338,"Sandwiches, Breakfast & Brunch, Asian Fusion, American (New), Restaurants, Food, Coffee & Tea, Cafes",Asian Cuisine
339,"Sandwiches, Cafes, Restaurants, Bakeries, Coffee & Tea, Breakfast & Brunch, Food",American Cuisine
340,"Restaurants, Chinese, Szechuan",Asian Cuisine
341,"Burgers, Restaurants, American (Traditional), Hot Dogs, Fast Food",American Cuisine
342,"Restaurants, Seafood",Unknown
343,"Restaurants, Pizza, Food",European Cuisine
344,"Soul Food, Food, Restaurants",Unknown
345,"Burgers, Fast Food, Restaurants, Food",American Cuisine
346,"Fast Food, Restaurants, Sandwiches",American Cuisine
347,"Restaurants, Diners, American (New)",American Cuisine
348,"Food, Restaurants, Breakfast & Brunch, American (New), Cafes, American (Traditional), Salad",American Cuisine
349,"Food, Restaurants, Fast Food, Burgers, Ice Cream & Frozen Yogurt",American Cuisine
350,"Pakistani, Indian, Restaurants, Asian Fusion",Asian Cuisine
351,"Southern, Comfort Food, Restaurants, Breakfast & Brunch",American Cuisine
352,"Food, Gluten-Free, Desserts, Bakeries, Restaurants",Unknown
353,"Breakfast & Brunch, Restaurants, Hot Dogs, Burgers, Food Stands, Cheesesteaks, Food",American Cuisine
354,"Coffee & Tea, Fast Food, Restaurants, Burgers, Food",American Cuisine
355,"American (Traditional), American (New), Italian, Chinese, Breakfast & Brunch, Seafood, Diners, Restaurants, Greek",Asian Cuisine
356,"Food, Cantonese, Vietnamese, Restaurants, Coffee & Tea, Chinese",Asian Cuisine
357,"Thai, Restaurants, Japanese",Asian Cuisine
358,"Seafood, American (Traditional), Restaurants",American Cuisine
359,"Breakfast & Brunch, Restaurants, Cafes, American (Traditional)",American Cuisine
360,"Food, Restaurants, Donairs, Pizza",European Cuisine
361,"Food, Desserts, Greek, Arabic, Restaurants, Sandwiches, Lebanese, Mediterranean, Salad, Falafel, Middle Eastern",Middle Eastern / African Cuisine
